Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
US,48600000,780000,38100000,9720000,120500,1420,89000,1.60,78.40,2.05,47500000,1100000,2.32,Americas
India,34600000,469000,34020000,111000,9200,310,10500,1.36,98.32,1.38,34450000,150000,0.44,South-East Asia
Brazil,22105872,614964,21338573,152335,12400,280,14100,2.78,96.53,2.88,21980000,125872,0.57,Americas
United Kingdom,10276020,145140,9800000,330880,45000,140,38000,1.41,95.37,1.48,9950000,326020,3.28,Europe
Russia,9536825,271613,8245591,1019621,33500,1210,31000,2.85,86.46,3.29,9300000,236825,2.55,Europe
France,7689956,119225,7020000,550731,31000,95,28000,1.55,91.29,1.70,7470000,219956,2.94,Europe
Germany,5953400,102100,5010000,841300,48000,320,35000,1.71,84.15,2.04,5620000,333400,5.93,Europe
South Africa,2976613,89915,2840000,46698,4200,35,38000,3.02,95.41,3.17,2940000,36613,1.25,Africa
China,113000,4846,107200,954,85,2,90,4.29,94.87,4.52,112400,600,0.53,Western Pacific
Australia,211600,2012,181000,28588,1450,11,1200,0.95,85.54,1.11,201500,10100,5.01,Western Pacific
