Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,US,37.0902,-95.7129,2020-01-22,1,0,0,1,Americas
,US,37.0902,-95.7129,2020-02-15,13,0,3,10,Americas
,US,37.0902,-95.7129,2020-03-01,74,1,7,66,Americas
,US,37.0902,-95.7129,2020-04-01,216722,5137,8586,202999,Americas
,US,37.0902,-95.7129,2020-05-01,1070000,63000,154000,853000,Americas
,US,37.0902,-95.7129,2020-06-01,1800000,105000,460000,1235000,Americas
,US,37.0902,-95.7129,2020-07-01,2680000,128000,720000,1832000,Americas
,US,37.0902,-95.7129,2020-08-01,4600000,154000,1440000,3006000,Americas
,US,37.0902,-95.7129,2020-09-01,6050000,184000,2200000,3666000,Americas
,US,37.0902,-95.7129,2020-10-01,7260000,207000,2850000,4203000,Americas
,US,37.0902,-95.7129,2020-11-01,9180000,230000,3600000,5350000,Americas
,US,37.0902,-95.7129,2020-12-01,13700000,270000,5100000,8330000,Americas
,US,37.0902,-95.7129,2021-01-01,20000000,345000,7800000,11855000,Americas
,US,37.0902,-95.7129,2021-02-01,26300000,443000,16000000,9857000,Americas
,US,37.0902,-95.7129,2021-03-01,28600000,514000,18800000,9286000,Americas
,US,37.0902,-95.7129,2021-04-01,30500000,553000,22700000,7247000,Americas
,US,37.0902,-95.7129,2021-05-01,32400000,577000,24900000,6923000,Americas
,US,37.0902,-95.7129,2021-06-01,33300000,595000,26000000,6705000,Americas
,US,37.0902,-95.7129,2021-07-01,33700000,605000,26800000,6295000,Americas
,US,37.0902,-95.7129,2021-08-01,35000000,613000,27900000,6487000,Americas
,US,37.0902,-95.7129,2021-09-01,39300000,642000,30600000,8058000,Americas
,US,37.0902,-95.7129,2021-10-01,43500000,698000,33100000,9702000,Americas
,US,37.0902,-95.7129,2021-11-01,46000000,746000,35600000,9654000,Americas
,US,37.0902,-95.7129,2021-12-01,48600000,7800000,38100000,2700000,Americas
,India,20.5937,78.9629,2020-01-22,0,0,0,0,South-East Asia
,India,20.5937,78.9629,2020-02-15,3,0,0,3,South-East Asia
,India,20.5937,78.9629,2020-03-01,3,0,3,0,South-East Asia
,India,20.5937,78.9629,2020-04-01,1998,58,148,1792,South-East Asia
,India,20.5937,78.9629,2020-05-01,34863,1154,9064,24645,South-East Asia
,India,20.5937,78.9629,2020-06-01,190609,5408,91852,93349,South-East Asia
,India,20.5937,78.9629,2020-07-01,585481,17400,347978,220103,South-East Asia
,India,20.5937,78.9629,2020-08-01,1696000,36500,1094000,5655000,South-East Asia
,India,20.5937,78.9629,2020-09-01,3690000,65300,2840000,784700,South-East Asia
,India,20.5937,78.9629,2020-10-01,6310000,98600,5270000,941400,South-East Asia
,India,20.5937,78.9629,2020-11-01,8180000,122000,7540000,518000,South-East Asia
,India,20.5937,78.9629,2020-12-01,9460000,137000,8890000,433000,South-East Asia
,India,20.5937,78.9629,2021-01-01,10280000,148000,9880000,252000,South-East Asia
,India,20.5937,78.9629,2021-02-01,10750000,154000,10430000,166000,South-East Asia
,India,20.5937,78.9629,2021-03-01,11110000,157000,10790000,163000,South-East Asia
,India,20.5937,78.9629,2021-04-01,12220000,162000,11470000,588000,South-East Asia
,India,20.5937,78.9629,2021-05-01,19150000,211000,15680000,3259000,South-East Asia
,India,20.5937,78.9629,2021-06-01,28170000,331000,25940000,1899000,South-East Asia
,India,20.5937,78.9629,2021-07-01,30410000,399000,29480000,531000,South-East Asia
,India,20.5937,78.9629,2021-08-01,31650000,424000,30820000,406000,South-East Asia
,India,20.5937,78.9629,2021-09-01,32810000,439000,31990000,381000,South-East Asia
,India,20.5937,78.9629,2021-10-01,33760000,448000,33040000,272000,South-East Asia
,India,20.5937,78.9629,2021-11-01,34280000,458000,33660000,162000,South-East Asia
,India,20.5937,78.9629,2021-12-01,34600000,469000,34020000,111000,South-East Asia
,Brazil,-14.235,-51.9253,2020-01-22,0,0,0,0,Americas
,Brazil,-14.235,-51.9253,2020-03-01,2,0,0,2,Americas
,Brazil,-14.235,-51.9253,2020-04-01,5717,201,127,5389,Americas
,Brazil,-14.235,-51.9253,2020-05-01,87187,6006,35935,45246,Americas
,Brazil,-14.235,-51.9253,2020-06-01,514849,29314,206555,278980,Americas
,Brazil,-14.235,-51.9253,2020-07-01,1402041,59594,790040,552407,Americas
,Brazil,-14.235,-51.9253,2020-08-01,2707877,93563,1865729,748585,Americas
,Brazil,-14.235,-51.9253,2020-09-01,3908272,121841,3097734,688700,Americas
,Brazil,-14.235,-51.9253,2020-10-01,4810935,143952,4180376,486607,Americas
,Brazil,-14.235,-51.9253,2020-11-01,5535605,159884,4972371,403350,Americas
,Brazil,-14.235,-51.9253,2020-12-01,6335878,173120,5601804,560954,Americas
,Brazil,-14.235,-51.9253,2021-01-01,7675973,194949,6747065,733959,Americas
,Brazil,-14.235,-51.9253,2021-02-01,9204731,224504,8077967,902260,Americas
,Brazil,-14.235,-51.9253,2021-03-01,10551259,255724,9411033,884502,Americas
,Brazil,-14.235,-51.9253,2021-04-01,12748747,321515,11146908,1280324,Americas
,Brazil,-14.235,-51.9253,2021-05-01,14659011,403782,13194538,1060691,Americas
,Brazil,-14.235,-51.9253,2021-06-01,16545554,462791,14948705,1134058,Americas
,Brazil,-14.235,-51.9253,2021-07-01,18557141,518066,16858632,1180443,Americas
,Brazil,-14.235,-51.9253,2021-08-01,19917855,556370,18645993,715492,Americas
,Brazil,-14.235,-51.9253,2021-09-01,20790832,580413,19747805,462614,Americas
,Brazil,-14.235,-51.9253,2021-10-01,21427073,596670,20427845,402558,Americas
,Brazil,-14.235,-51.9253,2021-11-01,21810855,607824,20982548,220483,Americas
,Brazil,-14.235,-51.9253,2021-12-01,22105872,614964,21338573,152335,Americas
,Russia,61.524,105.3188,2020-01-22,0,0,0,0,Europe
,Russia,61.524,105.3188,2020-03-01,2,0,2,0,Europe
,Russia,61.524,105.3188,2020-04-01,2777,24,190,2563,Europe
,Russia,61.524,105.3188,2020-05-01,114431,1169,13220,100042,Europe
,Russia,61.524,105.3188,2020-06-01,414878,4855,175877,234146,Europe
,Russia,61.524,105.3188,2020-07-01,653479,9521,422231,221727,Europe
,Russia,61.524,105.3188,2020-08-01,843890,14037,645316,184537,Europe
,Russia,61.524,105.3188,2020-09-01,997072,17250,813603,166219,Europe
