Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-01-22,555,17,28,510,0,0,0,3.06,5.05,60.71,6
2020-02-15,69032,1666,9442,57924,2040,142,1370,2.41,13.68,17.65,28
2020-03-01,88373,2996,42716,42661,1730,86,2910,3.39,48.34,7.01,67
2020-04-01,932605,50284,189073,693248,74500,4820,13200,5.39,20.27,26.60,180
2020-05-01,3343770,238650,1053000,2052120,83400,5410,34200,7.14,31.49,22.66,187
2020-06-01,6265800,375500,2698000,3192300,104500,3920,51200,5.99,43.06,13.92,187
2020-07-01,10667000,516200,5456000,4694800,176200,4710,98400,4.84,51.15,9.46,187
2020-08-01,17849000,685000,10542000,6622000,2563000,5820,154200,3.84,59.06,6.50,187
2020-09-01,25732000,856700,17021000,7854300,263100,5410,189500,3.33,66.15,5.03,187
2020-10-01,34278000,1021900,23790000,9466100,312400,5890,214300,2.98,69.40,4.30,187
2020-11-01,46512000,1199400,31084000,14228600,478900,7120,298500,2.58,66.83,3.86,187
2020-12-01,63841000,1479800,40974000,21387200,590200,10450,378900,2.32,64.18,3.61,187
2021-01-01,83975000,1827400,55910000,26237600,642100,12150,432000,2.18,66.58,3.27,187
2021-02-01,103410000,2246800,74992000,26171200,512000,13800,398000,2.17,72.52,3.00,187
2021-03-01,114440000,2538900,86201000,25700100,389000,9450,315000,2.22,75.32,2.95,187
2021-04-01,129570000,2827100,96180000,30562900,684000,11800,452000,2.18,74.23,2.94,187
2021-05-01,151890000,3187200,110480000,38222800,821000,13900,598000,2.10,72.74,2.88,187
2021-06-01,171120000,3559300,126950000,40610700,489000,10500,412000,2.08,74.19,2.80,187
2021-07-01,182580000,3954600,138490000,40135400,395000,8100,345000,2.17,75.85,2.86,187
2021-08-01,198420000,4228900,150240000,43951100,612000,9900,489000,2.13,75.72,2.81,187
2021-09-01,218550000,4532900,165780000,48237100,648000,10200,521000,2.07,75.85,2.73,187
2021-10-01,234120000,4791300,180590000,48738700,475000,8400,418000,2.05,77.13,2.65,187
2021-11-01,247010000,5004100,192450000,49555900,442000,7200,391000,2.03,77.91,2.60,187
2021-12-01,263150000,5221900,206780000,51148100,618000,8900,495000,1.98,78.58,2.53,187
